id,nombre,apellido,estado_civil,dni,nacionalidad,fecha_nacimiento,direccion,codigo_postal,provincia,telefono,email,es_moroso,profesion,salario,numero_cuenta,tipo_cuenta,saldo,antiguedad_cliente,genero
21,Jacinta,Checa,Divorciada,84515086E,Egipcia,1973-04-02,"Urbanización de Sandra Benet 28 Apt. 80 , Valladolid, 16491",11899,La Rioja,768863603,nteruel@example.com,False,Traductor e intérprete,"5596,91",ES0764157160237289107796,corriente,"78009,98",2022-02-06,Femenino
22,Amor,Cózar,Soltero,28304985N,Mongola,1970-05-02,"Pasaje de Lucho Rocha 472 Piso 3 , Palencia, 49217",36533,Almería,628002146,baudelio09@example.com,False,Matemático,"5730,37",ES1928893908694398919342,corriente,"427,29",2022-09-05,Masculino
23,Ángel,Criado,Casado,33441359A,Iraquí,1948-05-31,"Avenida Imelda Gutierrez 41, Salamanca, 06372",28474,Sevilla,747338152,juan-carlos35@example.org,False,Director de servicios de salud,"5539,15",ES5135730129444881658051,corriente,"56934,4",2022-11-13,Masculino
24,Gertrudis,Castro,Casada,39016148Y,Austriaca,1990-04-02,"Avenida de Agapito Sedano 291 Puerta 3 , Barcelona, 23872",05508,Ciudad,705306160,lucas27@example.net,False,Profesional de la protección medioambiental,"6894,66",ES7863169610181753424156,corriente,"54974,28",2018-01-10,Femenino
25,Eutropio,Ángel,Casado,70941063R,Turca,1945-01-28,"Callejón David Campo 524, Teruel, 23471",14342,Soria,668438462,anselma74@example.org,False,Ayudante de ambulancia,"2551,04",ES0008769962316099787436,corriente,"84417,4",2025-04-10,Masculino
26,Melisa,Roda,Divorciada,74543746X,Birmana,2000-12-24,"Alameda María Manuela Castrillo 82, Navarra, 01633",08331,Asturias,617057301,caridadaraujo@example.com,False,"Operador de máquinas de blanqueamiento, teñido y limpieza de tejidos","5861,14",ES3878567464295407830440,corriente,"32731,37",2023-03-15,Femenino
27,Leoncio,Colomer,Casado,15101060L,Mongola,1973-10-16,"Acceso de Trini Ariño 43, Huelva, 37692",27632,Salamanca,737956578,angelaguzman@example.org,False,Soplador de vidrio,"5725,9",ES0148848361933020590447,corriente,"6411,45",2020-02-11,Masculino
28,Santiago,Elorza,Divorciado,40720441E,Croata,2004-07-10,"Alameda Micaela Requena 34, Jaén, 03537",31847,Ceuta,771053101,olgasegui@example.com,False,Empleado de agencia de viajes,"2492,14",ES8469944009938730614502,corriente,"28700,33",2021-03-21,Masculino
29,Segismundo,Goñi,Viudo,91197630P,Griega,1959-09-18,"Alameda de León Baños 95, Soria, 36141",22702,Albacete,727041375,juliangaspar@example.net,False,Director de servicios de salud,"7392,14",ES1474482726899635617145,corriente,"67707,96",2021-01-22,Masculino
30,Alejo,Camps,Divorciado,33483845P,Turca,1985-02-20,"Ronda de Eloísa Vidal 7 Puerta 3 , Alicante, 47450",29577,Álava,694703046,prudenciorosado@example.org,False,Peón de obras públicas y mantenimiento,"7921,7",ES3519314661157391417683,corriente,"10056,48",2018-06-19,Masculino
31,Águeda,Murillo,Casada,21216569N,Birmana,1986-12-13,"Pasadizo de Martin Real 56, Cantabria, 28554",44576,Jaén,740506641,encarnacionmascaro@example.com,False,Cantante,"2361,62",ES7579634691277595915281,corriente,"30264,96",2019-12-27,Femenino
32,Sigfrido,Abad,Divorciado,94160662L,Uruguaya,1965-03-22,"Camino de Elvira Montserrat 87, Málaga, 32010",49231,Cáceres,726269902,luzaranzazu@example.net,False,Miembro de las fuerzas armadas,"3008,89",ES9690705904543761347436,corriente,"47983,01",2021-12-07,Masculino
33,María Teresa,Naranjo,Soltera,40975414V,Dominicana,1950-11-25,"Glorieta Eugenio Amat 4 Piso 9 , Lleida, 28160",42272,Ourense,725163841,linaplana@example.com,False,Guardafrenos,"2420,18",ES6241757432589376099251,corriente,"59906,86",2022-12-27,Femenino
34,Daniela,Coloma,Soltera,97589280G,Georgiana,1989-03-10,"Urbanización de Gabriel Villaverde 90, Baleares, 30914",09738,Zaragoza,746228117,wmolins@example.com,False,Operador de máquinas para la fabricación de calzado,"2845,28",ES1675052767074689149476,corriente,"5537,71",2019-08-31,Femenino
35,Sabina,Vargas,Divorciada,40745053R,Bahameña,1973-08-01,"Pasaje de Juan Antonio Huertas 88, Cuenca, 29827",06077,Teruel,708893892,joel45@example.com,False,Trabajador de cuidados personales a domicilio,"1692,34",ES5462933616806862825311,corriente,"94979,46",2025-02-09,Femenino
36,Julián,Berrocal,Divorciado,24274898P,Kuwaití,1953-12-17,"Vial de Lara Gargallo 7, Guipúzcoa, 36560",31534,La Rioja,787068069,gabaldonpepita@example.com,False,"Gerente de centros deportivos, de esparcimiento y culturales","5658,96",ES1178344623957263514016,corriente,"74037,58",2025-06-23,Masculino
37,Yolanda,Aller,Divorciada,76171746R,Libia,2002-11-05,"Acceso Marc Porta 98 Puerta 3 , Ceuta, 18887",29562,Madrid,620616249,porcelnicodemo@example.net,False,Personas que realizan trabajos varios,"3773,98",ES1076962910436390963915,corriente,"17474,71",2020-07-12,Femenino
38,Rosalva,Quiroga,Casada,34844290A,Peruana,1993-10-28,"Paseo Amando Prada 290 Puerta 6 , Lleida, 12909",04295,Córdoba,767970090,nmoran@example.com,False,Empleado del servicio de personal,"2313,27",ES9168274054567449611078,corriente,"66105,34",2018-10-24,Femenino
39,Florentino,Pinilla,Divorciado,88438040G,Iraquí,1963-06-25,"Cuesta Alejo Azorin 23 Puerta 0 , Ciudad, 14065",02335,Salamanca,681218260,jorgecases@example.com,False,Peón forestales,"1228,21",ES2991538770657333465407,corriente,"83647,69",2019-02-17,Masculino
40,Aurora,Gibert,Divorciada,36433495T,Indonesia,1976-03-10,"Via Mayte Céspedes 11 Piso 9 , La Coruña, 47859",13997,Asturias,697239168,cristianmata@example.net,False,Operador de máquinas para elaborar alimentos y productos afines,"5436,71",ES5680948252684141965537,corriente,"90218,44",2023-08-02,Femenino
41,Rosenda,Carrillo,Casada,36635519S,Portuguesa,1998-09-23,"Acceso de Bruno Velasco 70 Piso 1 , Huesca, 42653",31129,Teruel,674048423,trinidadecheverria@example.net,False,Médico especialista,"4847,64",ES9728577161816498280689,corriente,"33786,79",2021-07-17,Femenino
42,Modesta,León,Divorciada,20602329X,Burundesa,1986-06-16,"Camino de Julio Mora 51 Piso 3 , Ourense, 40998",44790,Jaén,683480824,ambrosio75@example.org,False,Maestro de enseñanza primaria,"4307,64",ES2818332484741268248377,corriente,"72599,87",2020-08-24,Femenino
43,Cloe,Pacheco,Casada,10015790A,Siria,1998-11-02,"Callejón de Cayetana Agustín 431 Puerta 6 , Navarra, 50687",16749,Tarragona,638198785,ctudela@example.org,False,Ayudante de ambulancia,"6402,75",ES8051178980829697536808,corriente,"97799,38",2024-10-15,Femenino
44,Emilia,Giralt,Casada,95223082T,Eslovena,1972-01-24,"Cuesta de Carolina Núñez 68 Piso 7 , Granada, 17475",16108,Baleares,775519744,maximianocarreras@example.net,False,Minero,"3332,41",ES4957887843026029608798,corriente,"94450,43",2023-05-12,Femenino
45,Rafaela,Esteve,Casada,37728518P,Siria,1957-07-30,"Camino de Martirio Zamorano 441 Piso 3 , Cádiz, 20809",01927,Teruel,715311058,leocadioarroyo@example.org,False,Oficial de préstamos y créditos,"2379,33",ES4771132606486859993979,corriente,"91714,47",2025-07-15,Femenino
46,Esteban,Cases,Divorciado,37774449P,Tunecina,1987-12-14,"Camino Lucas Soria 67, Almería, 17546",32308,Baleares,678996913,perezamparo@example.org,False,Operador de instalaciones de vidriería y cerámica,"5206,26",ES2155953200079950995651,corriente,"26521,16",2021-10-07,Masculino
47,Mayte,Baeza,Divorciada,93781872Q,Boliviana,1954-11-14,"Urbanización Diego Rico 499 Puerta 6 , León, 20487",39569,Las Palmas,682592126,cloe90@example.net,False,Profesor de enseñanza secundaria,"7887,17",ES2711663898906659317972,corriente,"28558,77",2024-01-23,Femenino
48,Augusto,Galiano,Divorciado,76183984A,Peruana,1987-02-10,"Rambla Jose Durán 112 Piso 7 , Girona, 03139",16170,Girona,784348568,julia71@example.net,False,Director de servicios de bienestar social,"4819,63",ES2942114163078349647919,corriente,"23888,91",2020-05-25,Masculino
49,Óscar,Lamas,Casado,16214532S,Libia,1998-02-26,"Paseo Jafet Company 22 Apt. 24 , León, 09149",31716,Tarragona,695113582,juana64@example.net,False,"Modelo de moda, arte y publicidad","3545,78",ES3198128790563674540018,corriente,"76922,21",2020-02-15,Masculino
50,Jose Manuel,Río,Casado,49728074G,Kazaja,1950-01-07,"Callejón de Amancio Bravo 19 Puerta 4 , Valladolid, 50562",12481,Lugo,647849149,llobo@example.net,False,Ingeniero químico,"5272,54",ES4533367830553450304734,corriente,"28243,76",2022-03-03,Masculino
51,Mercedes,Téllez,Casada,87592580R,Griega,1950-10-02,"Alameda de Miguel Ángel Calvo 75 Puerta 7 , Sevilla, 27244",50840,Navarra,760320255,sanzchus@example.com,False,Director de producción de piscicultura y pesca,"6123,96",ES4190433112961890939639,corriente,"30904,96",2020-05-20,Femenino
52,Felix,Carmona,Divorciado,44854004W,Belga,1997-02-11,"Ronda de Baltasar Expósito 859, Valladolid, 04382",14340,Cuenca,728901680,aureamaestre@example.com,False,Telefonista,"2074,35",ES6608420613923544504062,corriente,"15946,89",2021-11-04,Masculino
53,Octavia,Tormo,Casada,28742521L,Bielorrusa,1952-10-22,"Cañada Carmen Alcalá 461, Lleida, 08698",43448,Burgos,739458585,gmanzanares@example.net,False,Gerente general,"2930,19",ES3850730841082718755098,corriente,"17147,59",2019-04-02,Femenino
54,Herminia,Tolosa,Casada,92212022P,Botsuanesa,1976-09-05,"C. Graciano Verdejo 51 Piso 5 , Álava, 19536",48582,Granada,710068970,ccomas@example.net,False,Locutor de radio,"6837,27",ES3600895940455673223140,corriente,"17423,91",2022-12-24,Femenino
55,Francisco Jose,Márquez,Divorciado,97352197M,Galesa,1982-02-06,"Glorieta de José Haro 763 Apt. 57 , Jaén, 44495",43730,Burgos,647567849,iarco@example.net,False,"Operador de máquinas de preparación de fibras, hilado y devanado","3734,65",ES6885586771671630642803,corriente,"57406,48",2020-12-08,Masculino
56,Fito,Cabrera,Divorciado,58091300Q,Afgana,2004-01-13,"Plaza de Lorenza Cobos 22, Zamora, 18368",23187,Salamanca,720738787,vbernat@example.net,False,Técnico en ingeniería de minas y metalurgia,"5697,83",ES5926594678436556936274,corriente,"73839,42",2020-12-16,Masculino
57,Juanito,Pinto,Soltero,59994952G,Húngara,1966-02-03,"Urbanización Evangelina Madrigal 71, Valladolid, 42533",47130,Badajoz,726920403,sdelgado@example.com,False,Traductor e intérprete,"5168,62",ES0079930824534877947740,corriente,"39328,37",2021-04-08,Masculino
58,Alberto,Arteaga,Casado,69060600H,Libia,1966-08-14,"Acceso de Tomás Coello 78 Puerta 2 , Cádiz, 06175",40943,Jaén,752055491,anastasiaclemente@example.org,False,Orfebre,"1679,78",ES5006328190777648894108,corriente,"3474,52",2021-10-16,Masculino
59,Melchor,Izquierdo,Casado,46146882G,Siria,1975-10-26,"Cañada de Inés Cruz 8, Palencia, 20605",42873,Las Palmas,610481637,yago43@example.com,False,Técnico en electrónica,"5365,93",ES9101220603788435571733,corriente,"33364,98",2022-05-22,Masculino
60,Julie,Campillo,Divorciada,44698761D,Española,1960-09-07,"Cañada de Alfredo Priego 10 Puerta 7 , Vizcaya, 16081",40784,Zaragoza,628812454,isidoro39@example.com,False,Personas que realizan trabajos varios,"4577,42",ES2783877281525079247608,corriente,"53807,9",2025-02-12,Femenino
61,Priscila,Cerro,Casada,99443240A,Neozelandesa,1987-04-19,"Pasaje de Anastasio Patiño 51, Valencia, 28230",12510,Cantabria,750327463,miriampaz@example.net,False,Marinero de cubierta,"1503,95",ES8861147857128676750986,corriente,"84093,48",2022-10-11,Femenino
62,Zaira,Llamas,Divorciada,13914489H,Beninesa,2001-01-21,"Cañada de Margarita Nevado 8 Apt. 23 , Zaragoza, 37524",24971,Ávila,702569747,qalcala@example.net,False,Tipógrafo,"7976,84",ES6192998390420001678469,corriente,"36202,8",2021-08-11,Femenino
63,Jenny,Pedrosa,Casada,97776553B,Puertorriqueña,1990-05-01,"Via de Imelda Guillen 90 Piso 9 , Segovia, 05142",42641,Lleida,630429203,florencia61@example.org,False,Analista financiero,"5236,99",ES7975637805397494063627,corriente,"44437,57",2020-01-17,Femenino
64,Alma,Mayo,Viuda,95559850W,Canadiense,1978-01-25,"Paseo Elpidio Pont 95, Palencia, 49645",48618,Burgos,672907072,fcabeza@example.net,False,Guardia de protección,"1387,23",ES6754101271561252688960,corriente,"21601,38",2023-05-18,Femenino
65,Enrique,Aparicio,Divorciado,13683057N,Paraguaya,1991-07-09,"Pasaje de Jonatan Pareja 6, Almería, 27092",19080,Cantabria,621244504,sanzciriaco@example.net,False,Declarante de aduana,"6485,72",ES3707577994125119520542,corriente,"28783,73",2019-11-15,Masculino
66,Miguel Ángel,Almazán,Casado,86390350G,Malasia,1947-12-27,"Camino Hernán Bayona 439, Guipúzcoa, 51749",10670,Zamora,797404754,lluchrosa-maria@example.org,False,Capitán decubierta,"7651,01",ES0029092217717641364757,corriente,"1835,35",2019-01-27,Masculino
67,Julián,Iglesia,Casado,30326607A,Australiana,1998-11-19,"Vial Albino Palma 69, Cádiz, 18391",04434,Barcelona,606102474,hzorrilla@example.net,False,Paisajista,"1527,45",ES0984178351594937780555,corriente,"23851,34",2021-05-02,Masculino
68,Juanita,Sanabria,Soltera,63213276F,Cubana,1997-06-27,"Pasadizo de Ismael Aroca 147, Lugo, 27320",28936,Soria,692833646,trujilloleticia@example.com,False,Asistente de venta,"5076,22",ES9813905519027584694011,corriente,"56848,53",2019-10-02,Femenino
69,Ximena,Berrocal,Viuda,22208957L,Iraní,1966-06-19,"Callejón Etelvina Morcillo 99, Lleida, 34131",40677,Las Palmas,721784147,carboreyna@example.net,False,Peón de carga,"1468,57",ES9849348126009294382750,corriente,"23472,82",2019-09-04,Femenino
70,Valentín,Garrido,Casado,86581753R,Gabonesa,1973-10-23,"Alameda de Pastora Santana 26, Las Palmas, 21481",44588,Córdoba,608333028,ezequiel71@example.org,False,Técnico agropecuario,"4276,02",ES7569269067906001983148,corriente,"27485,87",2022-11-29,Masculino
71,Aristides,Buendía,Divorciado,71783040V,Chipriota,1973-12-07,"Paseo Benito Murcia 7 Piso 6 , Girona, 40348",21476,Huelva,750075661,veraiban@example.org,False,Peón de explotaciones ganaderas,"3666,34",ES3290419461510375729729,corriente,"11558,26",2025-02-04,Masculino
72,Juliana,Gomez,Casada,39794469F,Turca,2002-03-15,"Via de María Belén Lopez 936 Puerta 9 , Pontevedra, 44111",46447,Cuenca,755926195,escribanoleandro@example.net,False,"Redactor de carteles, pintor decorativos y grabador","7170,07",ES2244356039860127869689,corriente,"49575,43",2021-01-10,Femenino
73,Esmeralda,Nicolás,Casada,71533182P,Andorrana,1968-06-06,"Camino Gema Pérez 3, Ávila, 49897",35765,Castellón,746434878,drivas@example.com,False,Clasificador de desechos,"6882,96",ES5323737800750634180177,corriente,"2101,37",2019-04-19,Femenino
74,Flora,Mesa,Casada,41152051Z,Burkinesa,1993-08-25,"Vial Fausto Ayala 5, Sevilla, 28788",32828,Pontevedra,742979775,rribas@example.org,False,Recepcionista,"3984,22",ES4664110412258961217322,corriente,"78649,58",2023-07-18,Femenino
75,José María,Carbonell,Divorciado,85868125V,Bahameña,1968-01-13,"Camino de Amanda Águila 40, Pontevedra, 04590",01503,Castellón,711888648,hector24@example.com,False,Empleado del servicio de personal,"5760,41",ES1559057199154282409051,corriente,"98395,86",2019-12-14,Masculino
76,Azeneth,Aguilera,Divorciada,49689118X,Beninesa,1978-05-23,"C. Berta Grau 285, Valencia, 03772",29588,Albacete,637588734,ubermejo@example.net,False,Ingeniero en telecomunicaciones,"7220,7",ES4916817321904076822019,corriente,"38282,64",2025-06-03,Femenino
77,Maribel,Quiroga,Soltera,70173993G,Austriaca,1992-10-28,"C. Alfonso Morcillo 89 Puerta 5 , Las Palmas, 07937",16945,Las Palmas,770545122,fzamora@example.com,False,Técnico en seguridad aeronáutica,"7819,6",ES3192639326130272032666,corriente,"58932,94",2023-10-29,Femenino
78,Fabián,Nicolás,Casado,80296715N,Bruneana,1959-08-16,"Pasadizo Evita Carbonell 683, Toledo, 43299",10679,Ciudad,660736219,colljose-maria@example.org,False,Conductor de autobús,"2397,31",ES8387306049424435596305,corriente,"63513,1",2020-07-20,Masculino
79,María Cristina,Coronado,Divorciada,92825957G,Japonesa,1996-04-11,"Pasaje de Marisela Sanchez 695, León, 05475",31731,León,706298457,natividad49@example.org,False,Especialista en políticas de administración,"2623,25",ES5800931090335626225469,corriente,"14594,34",2021-10-22,Femenino
80,Lilia,Benavent,Casada,89991746Z,Eslovena,1965-09-01,"Calle Rafa Madrid 2 Puerta 9 , Lleida, 39032",37327,Zamora,728797108,sandovalvioleta@example.net,False,Peón de carga,"7787,68",ES6407640492224003654538,corriente,"45452,61",2022-03-30,Femenino
81,Ciríaco,Montoya,Casado,59522388K,Singapurense,1985-09-18,"Pasaje Cristian Nuñez 9, Alicante, 17236",47374,León,676741100,hzamora@example.net,False,Clasificador de productos,"2567,59",ES1072954618484996119281,corriente,"69782,01",2020-08-09,Masculino
82,Germán,Peralta,Casado,49289472N,Bahameña,2007-01-04,"Alameda de Iris Badía 61 Apt. 86 , Córdoba, 48430",44028,Pontevedra,626545151,nazariobertran@example.net,False,Peón de minas y canteras,"2324,51",ES9507240745136230771917,corriente,"47312,91",2024-03-04,Masculino
83,Calisto,Olmo,Casado,54109398N,Canadiense,1965-08-27,"Cañada Celia Peñas 92, Segovia, 44939",28748,Málaga,744288811,alejandro54@example.org,False,Gestor de aduana,"2817,81",ES1623222565717588671443,corriente,"56190,6",2018-04-09,Masculino
84,Evita,Torre,Divorciada,87791731H,Italiana,1957-08-11,"Avenida Manolo Cadenas 188, Vizcaya, 41503",09588,Pontevedra,672211031,kcorrea@example.org,False,Técnico agropecuario,"2201,44",ES9116954894098744606235,corriente,"58252,93",2018-04-23,Femenino
85,Nydia,Daza,Divorciada,93158688V,China,1993-08-15,"Acceso de Inmaculada Gámez 59, Ceuta, 35996",16674,Granada,776703665,xferrera@example.net,False,Operador de instalaciones de procesamiento de minerales y rocas,"7853,24",ES1855296386943433690618,corriente,"55327,31",2022-06-30,Femenino
86,Isabela,Serrano,Divorciada,13324160F,Irlandesa,1996-11-26,"Rambla de Olga Flores 124 Puerta 7 , Navarra, 07723",47622,Melilla,611154444,lopezcelso@example.org,False,Gerente general,"1563,65",ES8852243568676404830530,corriente,"91729,02",2024-05-20,Femenino
87,Javiera,Vilanova,Divorciada,93862430M,Serbia,1954-07-28,"Pasaje Soledad Olmedo 7, La Coruña, 33899",25507,Ciudad,728915137,xbilbao@example.org,False,Agente de servicios de expedición de licencias y permisos,"1391,04",ES2621842715260085860996,corriente,"65086,92",2024-08-07,Femenino
88,Esther,Cabeza,Divorciada,86323859Y,Burundesa,2001-08-25,"Calle Luciano Sureda 87, Ávila, 02245",17772,Castellón,670110738,carlotaalamo@example.com,False,Botánico,"6403,34",ES8987958836335411291864,corriente,"10524,79",2025-07-02,Femenino
89,Román,Maldonado,Casado,29622706V,Árabe,1960-09-18,"Urbanización Simón Sebastián 2, Pontevedra, 36130",02077,Santa Cruz de Tenerife,786824873,linacobo@example.com,False,Ingeniero en telecomunicaciones,"6653,28",ES4213060049267295504608,corriente,"71059,42",2020-11-25,Masculino
90,Aarón,Osorio,Casado,90370617Y,Andorrana,1960-11-30,"Pasadizo Poncio Bauzà 988, Jaén, 31810",03853,Santa Cruz de Tenerife,730903755,qperea@example.net,False,Inspector de fronteras,"3427,45",ES0554485887151803660628,corriente,"64933,03",2024-07-11,Masculino
91,Gaspar,Bauzà,Casado,62844206H,Vietnamita,1968-01-04,"Vial de Arsenio Ortuño 852, Santa Cruz de Tenerife, 12945",09837,Asturias,614455443,sarco@example.org,False,Analista de sistemas,"6048,81",ES4233549142692898034653,corriente,"95010,12",2022-11-14,Masculino
92,Ruy,Flores,Divorciado,91092274S,Hondureña,2004-10-27,"Pasadizo de Rómulo Sáenz 40 Piso 5 , Segovia, 22753",18905,Baleares,612615393,ulises67@example.com,False,Entrenador deportivo,"5110,7",ES1789710140723473700053,corriente,"28409,84",2024-05-24,Masculino
93,Ciro,Valderrama,Divorciado,51415697W,Neozelandesa,1991-08-22,"Avenida de Lucía Rodriguez 7 Puerta 2 , Guadalajara, 07723",06247,Guadalajara,735671929,mariano79@example.net,False,Ingeniero electrónico,"6773,26",ES7052890782517359199219,corriente,"60956,33",2018-05-18,Masculino
94,Carina,Saldaña,Divorciada,60419081J,Nicaragüense,1968-06-19,"Ronda de Leonardo Barceló 7, Málaga, 50145",45525,Cáceres,755794082,claveroreina@example.net,False,Personas que realizan trabajos varios,"6057,42",ES8960728984214532405885,corriente,"64004,57",2022-07-14,Femenino
95,Rosendo,Ríos,Casado,48936837J,Bosnia,1946-11-29,"Acceso Porfirio Piñol 309, Huesca, 25380",30094,Valladolid,650709989,cervantesbenita@example.com,False,Grabador de datos,"1287,82",ES1242798317010454438810,corriente,"5743,1",2020-01-08,Masculino
96,Estefanía,Lopez,Divorciada,37965226T,Húngara,1961-07-13,"Cuesta Aura Pombo 514, Castellón, 41099",19715,Tarragona,703413881,hfolch@example.org,False,Técnico en electrónica,"4641,86",ES3029432739741384358195,corriente,"74371,45",2021-01-11,Femenino
97,Angelina,Sans,Casada,56588374W,Tunecina,1956-04-17,"Acceso de Leire Barón 584, Teruel, 47501",46889,Santa Cruz de Tenerife,717720520,nadiapardo@example.net,False,Ayudante de odontología,"1956,7",ES0629039782894926291971,corriente,"7177,19",2023-06-16,Femenino
98,Azucena,Font,Divorciada,82130568Y,Puertorriqueña,1998-06-11,"Plaza de Poncio Peinado 38, Asturias, 21269",27093,Teruel,602462022,azaragoza@example.com,False,Tapicero,"5789,29",ES7133898241437127396631,corriente,"23595,42",2022-06-02,Femenino
